DDS_TRADETIME,DDSSWAPS_TRADETIME,ISIN,PRICE,DKSW30,DKSW10,DKSW5,DKSW2,FUT_BUND,FUT_BOBL,FUT_SCHATZ
2020-08-27 09:26:37,2020-08-27 09:26:37,"DK0009397739",99.374972,0.20804,0.036176,-0.139982,-0.152628,176.284668,134.79649,112.026714
2020-08-27 09:27:13,2020-08-27 09:27:13,"DK0009294928",102.245346,0.207215,0.035316,-0.14033,-0.15274,176.284668,134.78649,112.026714
2020-08-27 09:31:07,2020-08-27 09:31:07,"DK0004613346",98.074988,0.20653,0.034444,-0.140639,-0.152737,176.284668,134.78649,112.036713
2020-08-27 09:31:43,2020-08-27 09:31:43,"DK0009524431",99.249972,0.205092,0.033447,-0.141209,-0.153908,176.284668,134.78649,112.036713
2020-08-27 09:31:45,2020-08-27 09:31:45,"DK0009524431",99.249972,0.205257,0.033447,-0.141279,-0.153908,176.284668,134.78649,112.036713
2020-08-27 09:34:48,2020-08-27 09:34:48,"DK0009522302",100.135945,0.205739,0.034024,-0.141234,-0.153924,176.244668,134.766489,112.036713
2020-08-27 09:36:04,2020-08-27 09:36:04,"DK0002038587",100.190002,0.204241,0.032597,-0.142806,-0.153803,176.244668,134.766489,112.036713
2020-08-27 09:37:17,2020-08-27 09:37:17,"DK0002046176",96.925017,0.205347,0.033777,-0.141432,-0.153899,176.224669,134.766489,112.036713
2020-08-27 09:37:34,2020-08-27 09:37:34,"DK0002038587",100.190002,0.205758,0.033777,-0.14138,-0.153708,176.224669,134.766489,112.036713
2020-08-27 09:38:59,2020-08-27 09:38:59,"DK0002041532",100.360001,0.207201,0.035395,-0.141156,-0.153747,176.234668,134.78649,112.036713
2020-08-27 10:06:34,2020-08-27 10:06:34,"DK0004612454",100,0.201016,0.03221,-0.143747,-0.153269,176.324669,134.79649,112.026714
2020-08-27 10:06:59,2020-08-27 10:06:59,"DK0002044718",99.399972,0.200988,0.03198,-0.142643,-0.153305,176.324669,134.79649,112.026714
2020-08-27 10:07:57,2020-08-27 10:07:57,"DK0009527293",99.225006,0.198957,0.03025,-0.143778,-0.153698,176.314668,134.79649,112.026714
2020-08-27 10:22:56,2020-08-27 10:22:56,"DK0009512857",100.416416,0.199802,0.031868,-0.14334,-0.153491,176.294668,134.78649,112.026714
2020-08-28 12:01:19,2020-08-28 12:01:19,"DK0002044551",99.825001,0.267903,0.079421,-0.122636,-0.145898,175.474478,134.656489,112.016713
2020-08-28 12:03:57,2020-08-28 12:03:57,"DK0009923997",101.875793,0.270526,0.081855,-0.119888,-0.145193,175.514478,134.666489,112.016713
2020-08-28 12:04:50,2020-08-28 12:04:50,"DK0009524787",100.550003,0.269917,0.081366,-0.119865,-0.145051,175.524478,134.666489,112.016713
2020-08-28 12:05:44,2020-08-28 12:05:44,"DK0002044551",99.825001,0.270424,0.082232,-0.120276,-0.145284,175.544478,134.666489,112.016713
2020-08-28 12:06:59,2020-08-28 12:06:59,"DK0002044551",99.825001,0.271263,0.082719,-0.118845,-0.14548,175.544478,134.666489,112.016713
2020-08-28 12:07:22,2020-08-28 12:07:22,"DK0009527376",98.149969,0.271219,0.082887,-0.118805,-0.145731,175.524478,134.666489,112.016713
2020-08-28 12:11:25,2020-08-28 12:11:25,"DK0009522815",99.725,0.272539,0.082879,-0.120758,-0.146079,175.544478,134.666489,112.016713
2020-08-28 12:12:23,2020-08-28 12:12:23,"DK0009522815",99.725,0.272702,0.083184,-0.120647,-0.146059,175.544478,134.666489,112.016713
2020-08-28 13:12:48,2020-08-28 13:12:48,"DK0002044635",98.825007,0.275073,0.08054,-0.123928,-0.145987,175.584477,134.71649,112.026714
2020-08-28 13:23:44,2020-08-28 13:23:44,"DK0009524431",99.02497,0.274656,0.079388,-0.125592,-0.148409,175.654479,134.71649,112.026714
2020-08-28 09:07:11,2020-08-28 09:07:11,"DK0002032119",100.214009,0.287079,0.095731,-0.110472,-0.140218,175.224478,134.556489,111.986713
2020-08-28 09:07:59,2020-08-28 09:07:59,"DK0009526139",106.085605,0.288043,0.096652,-0.109718,-0.140067,175.204479,134.566489,111.986713
2020-08-28 09:12:52,2020-08-28 09:12:52,"DK0002032119",100.214009,0.291378,0.098515,-0.109249,-0.140453,175.224478,134.576489,112.006713
2020-08-28 09:25:07,2020-08-28 09:25:07,"DK0009296469",105.601254,0.296242,0.102927,-0.103881,-0.139456,175.304479,134.60649,112.006713
2020-08-28 09:27:59,2020-08-28 09:27:59,"DK0004612454",99.7,0.291694,0.098302,-0.106304,-0.140197,175.334477,134.60649,112.006713
2020-08-28 10:07:11,2020-08-28 10:07:11,"DK0002032119",100.214009,0.292741,0.097942,-0.112802,-0.140753,175.524478,134.666489,112.016713
2020-08-28 10:07:59,2020-08-28 10:07:59,"DK0009526139",106.131644,0.297096,0.098804,-0.111875,-0.140285,175.524478,134.666489,112.016713
2020-08-28 10:12:52,2020-08-28 10:12:52,"DK0002032119",100.214009,0.296746,0.099175,-0.112516,-0.139903,175.574478,134.656489,112.006713
2020-08-28 10:27:44,2020-08-28 10:27:44,"DK0009525321",95.825011,0.285486,0.090707,-0.11455,-0.139229,175.544478,134.646489,112.006713
2020-08-28 10:32:00,2020-08-28 10:32:00,"DK0009397739",99.14997,0.28386,0.089431,-0.11638,-0.140245,175.524478,134.656489,112.016713
2020-08-28 10:33:59,2020-08-28 10:33:59,"DK0009525321",95.825011,0.279366,0.086202,-0.12013,-0.143056,175.514478,134.656489,112.016713
2020-08-28 10:40:22,2020-08-28 10:40:22,"DK0009397739",99.14997,0.276774,0.08318,-0.12214,-0.144216,175.584477,134.68649,112.006713
2020-08-28 10:40:25,2020-08-28 10:40:25,"DK0009397739",99.14997,0.276969,0.083325,-0.12214,-0.144167,175.584477,134.68649,112.006713
2020-08-28 10:58:59,2020-08-28 10:58:59,"DK0002047307",98.199969,0.273481,0.079761,-0.122678,-0.145536,175.524478,134.646489,112.016713
2020-08-28 11:05:40,2020-08-28 11:05:40,"DK0009524944",98.025,0.273667,0.081226,-0.121783,-0.145073,175.494478,134.62649,112.016713
2020-08-28 11:05:58,2020-08-28 11:05:58,"DK0006348164",99.675007,0.273853,0.081171,-0.121563,-0.145,175.494478,134.62649,112.016713
2020-08-28 11:06:31,2020-08-28 11:06:31,"DK0004612025",101.075046,0.273572,0.081214,-0.121557,-0.145103,175.504479,134.646489,112.016713
2020-08-28 11:07:24,2020-08-28 11:07:24,"DK0009397499",100.260002,0.271937,0.079851,-0.121403,-0.14518,175.474478,134.646489,112.016713
2020-08-28 11:07:59,2020-08-28 11:07:59,"DK0009524431",99.02497,0.271662,0.080018,-0.121589,-0.144967,175.474478,134.646489,112.016713
2020-08-28 11:07:59,2020-08-28 11:07:59,"DK0009397499",100.260002,0.271662,0.080018,-0.121589,-0.144967,175.474478,134.646489,112.016713
2020-08-28 11:08:10,2020-08-28 11:08:10,"DK0006348677",98.700004,0.271605,0.079838,-0.121327,-0.144971,175.474478,134.646489,112.016713
2020-08-28 11:28:54,2020-08-28 11:28:54,"DK0009297434",103.25,0.269787,0.08102,-0.121647,-0.146004,175.574478,134.676489,112.006713
2020-08-28 11:40:59,2020-08-28 11:40:59,"DK0009297194",103.925016,0.266775,0.078786,-0.12441,-0.14608,175.544478,134.666489,112.006713
2020-08-28 11:44:59,2020-08-28 11:44:59,"DK0009403131",98.174969,0.266931,0.079018,-0.124126,-0.14577,175.484477,134.656489,112.016713
2020-08-28 11:44:59,2020-08-28 11:44:59,"DK0004616018",98.149969,0.266931,0.079018,-0.124126,-0.14577,175.484477,134.656489,112.016713
2020-08-28 11:48:22,2020-08-28 11:48:22,"DK0009503005",100.518045,0.267414,0.079433,-0.123967,-0.146329,175.504479,134.646489,112.006713
2020-08-28 11:50:59,2020-08-28 11:50:59,"DK0009525081",96.60001,0.265316,0.077279,-0.124267,-0.145922,175.504479,134.646489,112.006713
2020-08-28 11:50:59,2020-08-28 11:50:59,"DK0009297277",103.774993,0.265316,0.077279,-0.124267,-0.145922,175.504479,134.646489,112.006713
2020-08-28 11:53:04,2020-08-28 11:53:04,"DK0009522815",99.725,0.26418,0.076237,-0.126399,-0.14568,175.514478,134.646489,112.006713
2020-08-28 11:55:22,2020-08-28 11:55:22,"DK0009524944",98.025,0.266573,0.078079,-0.124396,-0.146868,175.484477,134.656489,112.016713
2020-08-28 11:58:45,2020-08-28 11:58:45,"DK0009397739",99.14997,0.268291,0.079647,-0.12244,-0.145699,175.484477,134.656489,112.016713
2020-08-28 11:58:59,2020-08-28 11:58:59,"DK0009397739",99.14997,0.268036,0.079781,-0.122599,-0.145835,175.484477,134.656489,112.016713
2020-08-28 12:12:07,2020-08-28 12:12:07,"DK0002044718",99.14997,0.272438,0.082992,-0.120785,-0.146238,175.544478,134.666489,112.016713
2020-08-28 12:23:03,2020-08-28 12:23:03,"DK0009391294",105.878849,0.271782,0.081125,-0.123735,-0.146899,175.584477,134.69649,112.026714
2020-08-28 12:23:34,2020-08-28 12:23:34,"DK0009391294",105.881892,0.272319,0.080956,-0.123792,-0.147257,175.574478,134.68649,112.026714
2020-08-28 12:28:54,2020-08-28 12:28:54,"DK0009297434",103.25,0.272915,0.080338,-0.124732,-0.147155,175.574478,134.68649,112.026714
2020-08-28 12:29:33,2020-08-28 12:29:33,"DK0009296469",105.649713,0.271627,0.079205,-0.125776,-0.146847,175.574478,134.69649,112.026714
2020-08-28 14:02:59,2020-08-28 14:02:59,"DK0006348677",98.725004,0.272229,0.07526,-0.12779,-0.149863,175.654479,134.69649,112.016713
2020-08-28 14:31:59,2020-08-28 14:31:59,"DK0009527376",98.149969,0.270679,0.073741,-0.131183,-0.15158,175.694478,134.70649,112.026714
2020-08-28 14:31:59,2020-08-28 14:31:59,"DK0009525081",96.60001,0.270679,0.073741,-0.131183,-0.15158,175.694478,134.70649,112.026714
2020-08-28 14:36:39,2020-08-28 14:36:39,"DK0009513822",100.18,0.267191,0.071412,-0.133042,-0.152644,175.684477,134.71649,112.026714
2020-08-28 14:39:20,2020-08-28 14:39:20,"DK0004612967",98.774969,0.26506,0.06953,-0.133992,-0.153302,175.704479,134.71649,112.026714
2020-08-28 14:41:40,2020-08-28 14:41:40,"DK0002044635",98.825007,0.268648,0.072929,-0.132535,-0.152964,175.704479,134.69649,112.016713
2020-08-28 14:41:59,2020-08-28 14:41:59,"DK0002044635",98.825007,0.268176,0.072305,-0.132576,-0.152727,175.704479,134.69649,112.016713
2020-08-28 14:43:20,2020-08-28 14:43:20,"DK0009523466",100.139999,0.268926,0.073286,-0.131404,-0.152421,175.694478,134.68649,112.016713
2020-08-28 14:44:22,2020-08-28 14:44:22,"DK0009518979",100.330002,0.268587,0.073311,-0.132007,-0.152403,175.694478,134.68649,112.016713
2020-08-28 14:46:59,2020-08-28 14:46:59,"DK0009294928",102.208963,0.267245,0.071641,-0.132359,-0.151396,175.654479,134.68649,112.026714
2020-08-28 14:55:34,2020-08-28 14:55:34,"DK0002044635",98.825007,0.268821,0.072998,-0.131667,-0.151325,175.614478,134.666489,112.026714
2020-08-28 14:55:36,2020-08-28 14:55:36,"DK0002044635",98.825007,0.268758,0.072998,-0.131754,-0.151325,175.614478,134.666489,112.026714
2020-08-28 14:58:13,2020-08-28 14:58:13,"DK0004612884",99.024971,0.267986,0.072098,-0.131816,-0.151549,175.624478,134.656489,112.026714
2020-08-28 15:21:56,2020-08-28 15:21:56,"DK0004612884",99.024971,0.271317,0.074796,-0.128063,-0.148205,175.654479,134.69649,112.026714
2020-08-28 15:27:16,2020-08-28 15:27:16,"DK0006348677",98.725004,0.268797,0.072461,-0.129606,-0.14867,175.664478,134.68649,112.016713
2020-08-28 15:27:42,2020-08-28 15:27:42,"DK0009524357",98.775,0.266938,0.071378,-0.130462,-0.148537,175.664478,134.68649,112.016713
2020-08-28 15:35:32,2020-08-28 15:35:32,"DK0009397739",99.14997,0.264473,0.070188,-0.131001,-0.149533,175.574478,134.68649,112.026714
2020-08-28 15:39:20,2020-08-28 15:39:20,"DK0004612967",98.774969,0.26452,0.070313,-0.130863,-0.150083,175.614478,134.666489,112.016713
2020-08-28 09:12:10,2020-08-28 09:12:10,"DK0002041532",100.350006,0.289492,0.097848,-0.108674,-0.140073,175.234477,134.576489,112.006713
2020-08-28 09:12:47,2020-08-28 09:12:47,"DK0004612884",98.974971,0.291295,0.098646,-0.109147,-0.140589,175.204479,134.576489,112.006713
2020-08-28 09:17:31,2020-08-28 09:17:31,"DK0002044718",99.09997,0.292667,0.099135,-0.108408,-0.139765,175.264478,134.586489,112.006713
2020-08-28 09:18:25,2020-08-28 09:18:25,"DK0004612454",99.675,0.293562,0.100139,-0.107623,-0.139821,175.284477,134.60649,112.006713
2020-08-28 09:19:48,2020-08-28 09:19:48,"DK0002044718",99.09997,0.294651,0.101329,-0.106301,-0.139586,175.294478,134.596489,112.006713
2020-08-28 09:19:51,2020-08-28 09:19:51,"DK0002044718",99.09997,0.294798,0.101329,-0.106301,-0.139619,175.294478,134.596489,112.006713
2020-08-28 09:21:04,2020-08-28 09:21:04,"DK0009397739",99.09997,0.294596,0.101303,-0.105175,-0.139391,175.304479,134.596489,112.006713
2020-08-28 10:12:53,2020-08-28 10:12:53,"DK0009296030",101.902319,0.296746,0.099175,-0.112516,-0.139951,175.574478,134.656489,112.006713
2020-08-28 10:14:54,2020-08-28 10:14:54,"DK0002047224",99.000006,0.295033,0.098383,-0.112942,-0.140229,175.554479,134.646489,112.016713
2020-08-28 10:26:22,2020-08-28 10:26:22,"DK0009522815",99.725,0.28637,0.091615,-0.114322,-0.139567,175.544478,134.646489,112.006713
2020-08-28 10:49:59,2020-08-28 10:49:59,"DK0002045798",105.895079,0.276406,0.082978,-0.121491,-0.143706,175.574478,134.656489,112.006713
2020-08-28 10:52:10,2020-08-28 10:52:10,"DK0004612967",98.749969,0.274818,0.081242,-0.122514,-0.144838,175.584477,134.68649,112.006713
2020-08-28 13:15:57,2020-08-28 13:15:57,"DK0009295818",100.518354,0.275702,0.081275,-0.122778,-0.145915,175.614478,134.71649,112.026714
2020-08-28 13:19:42,2020-08-28 13:19:42,"DK0004612454",99.725,0.272943,0.078765,-0.125619,-0.147698,175.664478,134.71649,112.026714
2020-08-28 13:23:57,2020-08-28 13:23:57,"DK0004612884",99.024971,0.274939,0.079548,-0.125388,-0.1484,175.624478,134.71649,112.026714
2020-08-28 13:24:53,2020-08-28 13:24:53,"DK0004606563",102.675005,0.275515,0.080121,-0.125527,-0.147869,175.614478,134.71649,112.026714
2020-08-28 13:32:48,2020-08-28 13:32:48,"DK0009525081",96.60001,0.280232,0.08182,-0.124921,-0.148326,175.704479,134.736489,112.016713
2020-08-28 13:32:50,2020-08-28 13:32:50,"DK0009527376",98.149969,0.280232,0.08182,-0.124921,-0.148823,175.724478,134.736489,112.016713
2020-08-28 13:41:54,2020-08-28 13:41:54,"DK0006348677",98.725004,0.282697,0.084312,-0.122242,-0.1474,175.684477,134.71649,112.016713
2020-08-28 13:42:42,2020-08-28 13:42:42,"DK0009297434",103.25,0.281539,0.083313,-0.123461,-0.147559,175.694478,134.71649,112.016713
2020-08-27 12:01:07,2020-08-27 12:01:07,"DK0009922676",104.339401,0.20294,0.035338,-0.142806,-0.153503,176.254667,134.79649,112.026714
2020-08-27 13:41:08,2020-08-27 13:41:08,"DK0002047307",98.424969,0.208621,0.03417,-0.144318,-0.154251,176.044668,134.756489,112.016713
2020-08-27 13:47:08,2020-08-27 13:47:08,"DK0009524357",99,0.205692,0.031148,-0.146512,-0.15437,175.784668,134.71649,112.006713
2020-08-27 09:34:01,2020-08-27 09:34:01,"DK0002044551",100.075001,0.204574,0.03282,-0.14253,-0.153635,176.274669,134.78649,112.036713
2020-08-27 11:57:31,2020-08-27 11:57:31,"DK0004613189",96.850018,0.203539,0.035701,-0.142143,-0.15309,176.284668,134.78649,112.026714
2020-08-28 09:20:17,2020-08-28 09:20:17,"DK0009506297",100.131551,0.294687,0.101199,-0.106484,-0.139334,175.294478,134.596489,112.006713
2020-08-28 09:25:28,2020-08-28 09:25:28,"DK0009521684",100.370003,0.295827,0.102836,-0.103792,-0.13957,175.304479,134.60649,112.006713
2020-08-28 09:28:12,2020-08-28 09:28:12,"DK0002039049",103.124997,0.291396,0.098374,-0.10684,-0.139799,175.344478,134.60649,112.006713
2020-08-28 09:28:59,2020-08-28 09:28:59,"DK0009515876",102.975,0.288626,0.095641,-0.109095,-0.140422,175.374478,134.61649,112.006713
2020-08-28 09:32:59,2020-08-28 09:32:59,"DK0002044718",99.12497,0.290404,0.09687,-0.109726,-0.14048,175.414478,134.62649,112.016713
2020-08-28 09:37:06,2020-08-28 09:37:06,"DK0004612884",99.024971,0.290398,0.096525,-0.110449,-0.140299,175.484477,134.656489,112.006713
2020-08-28 09:58:59,2020-08-28 09:58:59,"DK0009515876",102.975,0.289002,0.09758,-0.110755,-0.141084,175.564478,134.656489,112.006713
2020-08-28 10:09:37,2020-08-28 10:09:37,"DK0009399941",98.975006,0.297595,0.099355,-0.111491,-0.140308,175.574478,134.666489,112.006713
2020-08-28 10:09:59,2020-08-28 10:09:59,"DK0009399941",98.975006,0.297315,0.099377,-0.11199,-0.140287,175.584477,134.68649,112.006713
2020-08-28 10:30:28,2020-08-28 10:30:28,"DK0009525164",97.7,0.282879,0.087668,-0.116585,-0.140326,175.524478,134.656489,112.016713
2020-08-28 10:35:30,2020-08-28 10:35:30,"DK0009294928",102.234322,0.277575,0.083243,-0.120717,-0.144112,175.524478,134.656489,112.016713
2020-08-28 10:35:40,2020-08-28 10:35:40,"DK0009527293",98.950006,0.277203,0.083075,-0.121359,-0.144112,175.514478,134.656489,112.016713
2020-08-28 10:44:05,2020-08-28 10:44:05,"DK0009522815",99.725,0.276736,0.083221,-0.121711,-0.143335,175.574478,134.656489,112.006713
2020-08-28 10:58:26,2020-08-28 10:58:26,"DK0009524357",98.75,0.273512,0.079943,-0.121609,-0.145479,175.524478,134.646489,112.016713
2020-08-28 11:11:25,2020-08-28 11:11:25,"DK0009522815",99.725,0.267012,0.077129,-0.12539,-0.145821,175.514478,134.62649,112.016713
2020-08-28 11:15:45,2020-08-28 11:15:45,"DK0009524431",99.02497,0.266613,0.078599,-0.121912,-0.145719,175.524478,134.656489,112.016713
2020-08-28 11:16:35,2020-08-28 11:16:35,"DK0009524431",99.02497,0.268219,0.080258,-0.12151,-0.146011,175.524478,134.656489,112.016713
2020-08-28 11:17:10,2020-08-28 11:17:10,"DK0009524944",98.025,0.267825,0.081054,-0.120584,-0.145756,175.514478,134.656489,112.016713
2020-08-28 11:29:59,2020-08-28 11:29:59,"DK0009525164",97.7,0.270993,0.082303,-0.121264,-0.145642,175.554479,134.666489,112.006713
2020-08-28 11:30:59,2020-08-28 11:30:59,"DK0009399941",98.975006,0.270661,0.082318,-0.121613,-0.145657,175.544478,134.656489,112.006713
2020-08-28 11:31:27,2020-08-28 11:31:27,"DK0009399941",98.975006,0.270653,0.081862,-0.121552,-0.145535,175.534477,134.666489,112.006713
2020-08-28 11:31:59,2020-08-28 11:31:59,"DK0009399941",98.975006,0.270989,0.082249,-0.121562,-0.14557,175.524478,134.666489,112.006713
2020-08-28 11:55:40,2020-08-28 11:55:40,"DK0002041029",104.210888,0.266911,0.078358,-0.124249,-0.146215,175.484477,134.656489,112.016713
2020-08-28 11:57:07,2020-08-28 11:57:07,"DK0009297194",103.925016,0.267727,0.079139,-0.123392,-0.145865,175.474478,134.656489,112.016713
2020-08-28 11:57:47,2020-08-28 11:57:47,"DK0009524944",98.025,0.267887,0.079568,-0.12263,-0.145723,175.474478,134.656489,112.016713
2020-08-28 13:21:12,2020-08-28 13:21:12,"DK0009397739",99.14997,0.272781,0.07772,-0.126411,-0.148665,175.684477,134.69649,112.026714
2020-08-27 08:22:44,2020-08-27 08:22:44,"DK0009922320",188.048782,0.212699,0.040149,-0.135017,-0.153061,176.154667,134.766489,112.026714
2020-08-27 08:43:24,2020-08-27 08:43:24,"DK0009522815",99.975,0.213596,0.04101,-0.13464,-0.150743,176.174669,134.766489,112.026714
2020-08-27 08:51:17,2020-08-27 08:51:17,"DK0009513152",102.625,0.213442,0.041136,-0.134674,-0.150164,176.224669,134.756489,112.036713
2020-08-27 09:16:41,2020-08-27 09:16:41,"DK0009522146",100.360001,0.211555,0.039048,-0.137009,-0.152312,176.284668,134.78649,112.036713
2020-08-27 09:18:03,2020-08-27 09:18:03,"DK0009521254",102.224971,0.210343,0.037763,-0.137212,-0.15211,176.274669,134.78649,112.036713
2020-08-27 09:21:30,2020-08-27 09:21:30,"DK0009512857",100.416416,0.207165,0.035442,-0.13945,-0.15273,176.294668,134.78649,112.036713
2020-08-27 09:23:57,2020-08-27 09:23:57,"DK0004612884",99.249973,0.208056,0.036049,-0.140003,-0.152894,176.274669,134.79649,112.036713
2020-08-27 09:26:33,2020-08-27 09:26:33,"DK0004612454",99.975,0.20804,0.036176,-0.139982,-0.152318,176.284668,134.79649,112.026714
2020-08-27 09:32:19,2020-08-27 09:32:19,"DK0009524431",99.249972,0.205646,0.033787,-0.141258,-0.153652,176.284668,134.78649,112.036713
2020-08-27 09:33:21,2020-08-27 09:33:21,"DK0009798647",103.85,0.205555,0.033863,-0.141031,-0.15371,176.294668,134.78649,112.026714
2020-08-27 09:40:16,2020-08-27 09:40:16,"DK0004605755",100.240005,0.207601,0.035805,-0.139864,-0.153363,176.244668,134.766489,112.036713
2020-08-27 09:43:59,2020-08-27 09:43:59,"DK0009397739",99.374972,0.206026,0.034401,-0.141135,-0.152717,176.254667,134.79649,112.036713
2020-08-27 09:46:30,2020-08-27 09:46:30,"DK0002041532",100.360001,0.203608,0.031942,-0.144298,-0.153968,176.314668,134.806489,112.036713
2020-08-27 09:49:29,2020-08-27 09:49:29,"DK0009397499",100.270004,0.203581,0.031835,-0.14434,-0.153421,176.344668,134.826489,112.026714
2020-08-27 09:52:59,2020-08-27 09:52:59,"DK0002041532",100.360001,0.204202,0.033557,-0.141771,-0.153561,176.344668,134.806489,112.026714
2020-08-27 09:56:20,2020-08-27 09:56:20,"DK0009525081",96.850013,0.204359,0.035555,-0.140719,-0.153354,176.344668,134.79649,112.026714
2020-08-27 09:59:59,2020-08-27 09:59:59,"DK0004615630",100.700005,0.204495,0.036459,-0.141218,-0.153418,176.354667,134.79649,112.036713
2020-08-27 10:00:28,2020-08-27 10:00:28,"DK0002041532",100.360001,0.204408,0.035732,-0.142479,-0.154049,176.344668,134.79649,112.026714
2020-08-27 10:00:51,2020-08-27 10:00:51,"DK0009522302",100.135945,0.20547,0.036499,-0.140524,-0.153136,176.344668,134.79649,112.026714
2020-08-27 10:01:58,2020-08-27 10:01:58,"DK0009294845",100.868494,0.20547,0.036499,-0.140524,-0.153136,176.354667,134.79649,112.036713
2020-08-27 10:04:04,2020-08-27 10:04:04,"DK0002038587",100.190002,0.202216,0.03343,-0.143883,-0.153372,176.344668,134.79649,112.026714
2020-08-27 10:06:01,2020-08-27 10:06:01,"DK0002044718",99.399972,0.201951,0.03309,-0.143884,-0.153613,176.324669,134.79649,112.026714
2020-08-27 10:06:24,2020-08-27 10:06:24,"DK0009527293",99.225006,0.201016,0.032196,-0.144176,-0.15351,176.324669,134.79649,112.026714
2020-08-27 10:10:56,2020-08-27 10:10:56,"DK0004605755",100.240005,0.200466,0.031787,-0.142321,-0.152708,176.314668,134.79649,112.026714
2020-08-27 10:13:50,2020-08-27 10:13:50,"DK0002041532",100.360001,0.198018,0.030158,-0.143455,-0.15337,176.314668,134.79649,112.026714
2020-08-27 10:16:50,2020-08-27 10:16:50,"DK0009522302",100.135945,0.199001,0.030999,-0.143287,-0.153435,176.284668,134.78649,112.026714
2020-08-27 10:17:20,2020-08-27 10:17:20,"DK0009294845",100.868781,0.198808,0.03088,-0.143233,-0.152807,176.284668,134.79649,112.026714
2020-08-27 10:27:13,2020-08-27 10:27:13,"DK0009294928",102.242102,0.19788,0.030072,-0.143794,-0.153964,176.274669,134.766489,112.026714
2020-08-27 10:30:54,2020-08-27 10:30:54,"DK0009522815",100,0.199151,0.031252,-0.143288,-0.154155,176.224669,134.756489,112.026714
2020-08-27 10:31:44,2020-08-27 10:31:44,"DK0009286825",101.458696,0.198278,0.030215,-0.143469,-0.1549,176.224669,134.756489,112.026714
2020-08-27 10:33:59,2020-08-27 10:33:59,"DK0009522302",100.135945,0.199096,0.031198,-0.143955,-0.153785,176.224669,134.78649,112.026714
